timestamp,open,high,low,close,volume
2018-03-22,170.0,172.68,168.93,171.03,29912687
2018-03-21,175.04,175.09,171.26,171.27,36385439
2018-03-20,175.24,176.8,174.94,175.24,19314039
2018-03-19,177.32,177.47,173.66,175.3,32804695
2018-03-16,178.65,179.12,177.62,178.02,36836456
2018-03-15,178.5,180.24,178.0701,178.65,22584565
2018-03-14,180.32,180.52,177.81,178.44,29075469
2018-03-13,182.59,183.5,179.24,179.97,31168404
2018-03-12,180.29,182.39,180.21,181.72,32055405
2018-03-09,177.96,180.0,177.39,179.98,31385134
2018-03-08,175.48,177.12,175.07,176.94,23163767
2018-03-07,174.94,175.85,174.27,175.03,31703462
2018-03-06,177.91,178.25,176.13,176.67,23788506
2018-03-05,175.21,177.74,174.52,176.82,28401366
2018-03-02,172.8,176.3,172.45,176.21,38453950
2018-03-01,178.54,179.775,172.66,175.0,48801970
2018-02-28,179.26,180.615,178.05,178.12,33604574
2018-02-27,179.1,180.48,178.16,178.39,38685165
2018-02-26,176.35,179.39,176.21,178.97,36886432
2018-02-23,173.67,175.65,173.54,175.5,33329232
2018-02-22,171.8,173.95,171.71,172.5,30504116
2018-02-21,172.83,174.12,171.01,171.07,35833514
2018-02-20,172.05,174.26,171.42,171.85,33531012
2018-02-16,172.36,174.82,171.77,172.43,39638793
2018-02-15,169.79,173.09,169.0,172.99,50609595
2018-02-14,163.045,167.54,162.88,167.37,39669178
2018-02-13,161.95,164.75,161.65,164.34,32104756
2018-02-12,158.5,163.89,157.51,162.71,60560145
2018-02-09,157.07,157.89,150.24,156.41,66723743
2018-02-08,160.29,161.0,155.03,155.15,49594129
2018-02-07,163.085,163.4,159.0685,159.54,50852130
2018-02-06,154.83,163.72,154.0,163.03,66625484
2018-02-05,159.1,163.88,156.0,156.49,66090446
2018-02-02,166.0,166.8,160.1,160.5,85436075
2018-02-01,167.165,168.62,166.76,167.78,38099665
2018-01-31,166.87,168.4417,166.5,167.43,30984099
2018-01-30,165.525,167.37,164.7,166.97,45137026
2018-01-29,170.16,170.16,167.07,167.96,48434424
2018-01-26,172.0,172.0,170.06,171.51,37121805
2018-01-25,174.505,174.95,170.53,171.11,39661804
2018-01-24,177.25,177.3,173.2,174.22,50562257
2018-01-23,177.3,179.44,176.82,177.04,31702531
2018-01-22,177.3,177.78,176.6016,177.0,26023683
2018-01-19,178.61,179.58,177.41,178.46,30827809
2018-01-18,179.37,180.1,178.25,179.26,30234512
2018-01-17,176.15,179.25,175.07,179.1,32752734
2018-01-16,177.9,179.39,176.14,176.19,29159005
2018-01-12,176.18,177.36,175.65,177.09,25039531
2018-01-11,174.59,175.4886,174.49,175.28,17523256
2018-01-10,173.16,174.3,173.0,174.29,23589129
2018-01-09,174.55,175.06,173.41,174.33,21262614
2018-01-08,174.35,175.61,173.93,174.35,20134092
2018-01-05,173.44,175.37,173.05,175.0,23016177
2018-01-04,172.54,173.47,172.08,173.03,22211345
2018-01-03,172.53,174.55,171.96,172.23,28819653
2018-01-02,170.16,172.3,169.26,172.26,25048048
2017-12-29,170.52,170.59,169.22,169.23,25643711
2017-12-28,171.0,171.85,170.48,171.08,15997739
2017-12-27,170.1,170.78,169.71,170.6,21672062
2017-12-26,170.8,171.47,169.679,170.57,32968167
2017-12-22,174.68,175.424,174.5,175.01,16052615
2017-12-21,174.17,176.02,174.1,175.01,20356826
2017-12-20,174.87,175.42,173.25,174.35,23000392
2017-12-19,175.03,175.39,174.09,174.54,27078872
2017-12-18,174.88,177.2,174.86,176.42,28831533
2017-12-15,173.63,174.17,172.46,173.97,37054632
2017-12-14,172.4,173.13,171.65,172.22,20219307
2017-12-13,172.5,173.54,172.0,172.27,23142242
2017-12-12,172.15,172.39,171.461,171.7,18945457
2017-12-11,169.2,172.89,168.79,172.67,33092051
2017-12-08,170.49,171.0,168.82,169.37,23096872
2017-12-07,169.03,170.44,168.91,169.32,24469613
2017-12-06,167.5,170.2047,166.46,169.01,28224357
2017-12-05,169.06,171.52,168.4,169.64,27008428
2017-12-04,172.48,172.62,169.63,169.8,32115052
2017-12-01,169.95,171.67,168.5,171.05,39590080
2017-11-30,170.43,172.14,168.44,171.85,40172368
2017-11-29,172.63,172.92,167.16,169.48,40788324
2017-11-28,174.3,174.87,171.86,173.07,25468442
2017-11-27,175.05,175.08,173.34,174.09,20536313
2017-11-24,175.1,175.5,174.6459,174.97,14026519
2017-11-22,173.36,175.0,173.05,174.96,24997274
2017-11-21,170.78,173.7,170.78,173.14,24875471
2017-11-20,170.29,170.56,169.56,169.98,15974387
2017-11-17,171.04,171.39,169.64,170.15,21665811
2017-11-16,171.18,171.87,170.3,171.1,23497326
2017-11-15,169.97,170.3197,168.38,169.08,28702351
2017-11-14,173.04,173.48,171.18,171.34,23588451
2017-11-13,173.5,174.5,173.4,173.97,16828025
2017-11-10,175.11,175.38,174.27,174.67,25061183
2017-11-09,175.11,176.095,173.14,175.88,28636531
2017-11-08,174.66,176.24,174.33,176.24,24409527
2017-11-07,173.91,175.25,173.6,174.81,23910914
2017-11-06,172.365,174.99,171.72,174.25,34242566
2017-11-03,174.0,174.26,171.12,172.5,58683826
2017-11-02,167.64,168.5,165.28,168.11,32710040
2017-11-01,169.87,169.94,165.61,166.89,33100847
2017-10-31,167.9,169.6499,166.94,169.04,35474672
2017-10-30,163.89,168.07,163.72,166.72,43923292
2017-10-27,159.29,163.6,158.7,163.05,43904150
